content,polarity
"Montoro ""la situación está para que la política ponga las luces largas para salir de la crísis"" #Congreso",NEU
"Montoro, hace dos meses: ""Si subiéramos el IRPF tendríamos menos crecimiento y más paro, con eso se lo digo todo"" ",N
El Gobierno no ampliará el plazo para que sindicatos y empresarios lleguen a un acuerdo,N
Cuando Montoro decía estas cosas ya sabía que el déficit era del 8%. Él mismo lo iba contando. ,N
"Alonso a Montoro ""no es manera de hacer las cosas, busquen consensos que conviertan en justo lo injusto"" #Congreso",NEU
El gobierno recuerda que no conocía el déficit antes de llegar al poder. El Psoe se defiende señalando que si lo sabían.,N
"Denuncia a la banca, la iglesia, la ley sinde, el escaso compromiso con el fraude, congelación del salario mínimo y funcionarios, rtve.",N
Hoy no le tiembla la mano. Ayer cueste lo que cueste. Y durante toda la crisis la austeridad hipócrita como ley del embudo y el rigor mortis,N
"'Bigotes' sobre R. Barberá ""Aunque no nos da nada tampoco nos jode. Le voy a comprar [un bolso] de la última colección"" #JuicioCamps",NEU
Esta es la mejor noticia q he leído hoy en la prensa.... ,P
El debate sobre déficit publico es el viejo debate sobre cañones o mantequilla.,N
Qué interés hay en enfrentar el gasto de las distintas Administraciones? No hablar de Estado y autonomías sino del Estado de las autonomías,N
Viendo otra movida:-),NEU
"El Congreso convalida, con los votos del PP, CiU y UPN, el primer ajuste de Rajoy - ABC.es via ",P
En el AVE con para ir a Barna. #palizon #señorasmayoresdegira #abuelas #desmadreenelgeriatrico,N
"Dorado (CGPJ) elogia la elección de Ruiz-Gallardón para Justicia frente al equipo ""tremendamente desleal"" de Caamaño ",NEU
No se puede utilizar la crisis como excusa para privatizar servicios públicos. Atacar a lo público es atacar a la democracia.,N
Se han ampliado 100.000 millones para avales a la banca. La banca siempre gana y altos directivos más.,N
"La producción industrial subió en noviembre un 15,8% respecto al mismo mes del año anterior...La + alta de toda España...",P
La Junta de Andalucía sigue echando mano de la chequera para amigos. Se lo contamos en nuestro top secret. 20:30,N
Alonso dice que en Andalucía no hay corrupción. Risas en el hemiciclo. 20:30,N
He publicado una foto nueva en Facebook ,P
En todos hemos estado de acuerdo en que los cargos públicos no estén mas de 8 años en el poder #acabarconlacorrupcion,P
RT : Los fotógrafos desafían a la censura en el Congreso con unas polémicas imágenes de Mariano Rajoy ,N
"""QUIEN NO HA AFRONTADO LA ADVERSIDAD NO CONOCE SU PROPIA FUERZA"" ",N
RT : RT : Queremos acabar con la #desnutrición infantil. ¿Nos ayudas? Envía DIA al 28028. Te necesitamos. #donaundia,P
que clamores? De Obama? “: EEUU recuerda diez años de Guantánamo entre clamores para su cierre inmediato #Guantánamo #EEUU”,N
Telmo Martín da el perfil para ministro de Vivienda (o de burbuja inmobilaria). ,N
"Hubo un tiempo en que la capacidad profesional, el valor y la admiración no se medían por la Cuenta Corriente.",N
"España líder mundial de donantes, y el Hospital la Fe de Valencia, líder en trasplantes de hígado y corazón.... ",P
"La constructora del diputado millonario, Telmo Martín, vendió viviendas VPO con sobreprecio y fue sancionada ",N
"Los abogados repudian los #CIE para extranjeros, el sí de CiU a Rajoy y el desafío de Chacón a Rubalcaba.#portadaEPC",N
. El secreto del éxito es la constancia en el propósito. Disraeli,P
BUENAS NOCHES:-),P
"Rajoy&Duran apoyan subida d impuestos a todos ls españoles,justo lo contrario d lo que dijeron hace 2 meses antes dl #20N. #pepevergencia",N
aquí podéis encontrar las fotos de mi segundo concierto en el gran teatro de Córdoba. y #Queco.,P
"Vaya público guapo el de Córdoba señores, gracias. Y mañana tocamos en Cádiz, cantaré por primera ver en el gran teatro Falla, otro sueño",P
"Si quieres estar informado con criterio, y eres progre, no te puedes perder el a las 3. Prueba una dosis liberal! Oeoeoe",P
"Contra el descriterio : a las 3. Para saber lo q pasa y Xq. Para entender mejor la realidad, con argumentos valientes.",P
" @ @ por supuesto, pero no creo que negarse a malgastar dinero sea equivocarse",NEU
"Banesto muestra el camino: menos beneficios, más provisiones.http://mun.do/wDrm8q",P
La adicción a Internet se caracteriza por una integración anormal de la materia blanca ,N
"RTVE.es mas de 14000000 usuarios en diciembre ¡gracias en general y en especial,por vuestros comentarios en la Lotería!",P
"La solidaridad no es entre los asalariados, es d los que más tienen hacia el resto de la sociedad. La del Rajuste deja fuera a los más ricos",N
Vamos a por !!!;),P
Elegir presidente de RTVE requiere 2/3 del Congreso. Conclusión: hasta q el PSOE no resuelva sus líos internos no habrá fumata blanca,N
Decir que un debate divide es como decir que la democracia divide.,N
"AMAIUR en el Congreso: ""Se demanda afrontar las consecuencias del conflicto. Hay q empezar acercando presos""",N
Felicitaciones !! Bienvenido Bauti a a la familia!!!,P
Q gustazo hablar con Ga Pelayo en !!;) en 3 minutos seguimos!!!,P
"“: Muy vanal diría yo..es un tweet que no dice nada” En cambio el tuyo lo dice todo, darling. #VíaAnal",NEU
La semana q viene mas !! Q bien nos lo pasamos!! VIVA LA RADIO!!;),P
Me da penita quitarlo ,N
"La colocación de 10.000 millones de deuda a menor interés demuestra que, al menos para los mercados, la estrategia de Rajoy ha sido acertada",P
"Para mi, escuchar a Ramoneda me sirve de referencia on #bananity ",P
"Mas!El ex alcalde de Los Barrios y la delegada de Cultura de la Junta, imputados por delito urbanístico"" via ",N
"¿Qué tienen en común Angola, Georgia, Montenegro y la Comunidad Valenciana? Su deuda tiene la misma nota para Moody's ",N
"Oye, me he tomado un vermú y me ha sentado fatal. #perocontento",N
"A las 3 en , según Defensa, piratas somalíes atacan un buque de guerra español. Un pirata muerto, y varios heridos",N
Y preguntamos en : ¿engañó a los votantes (impuestos) o engañó el a los españoles (déficit)? ,N
Me voy a dar un paseito con este solazo y buen día que hace hoy!!estoy feliz!!??,P
Es lo q es: La Mancomunidad de la Axarquía ve una tomadura de pelo el decreto de Vivienda via ,N
"“La renovación del PSOE es un problema de cambio intelectual, no generacional” | Rubalcaba: via ",NEU
. elige para #Malaga su primer gran acto público como presidente . SUR.es vía ,P
"En octubre celebraremos el II Fórum de los Archipiélagos, esperamos esta vez en Baleares a instituciones y empresas de Canarias...",P
Ese destino tendrá que forjarlo libremente cada generación de acuerdo con lo que en cada momento le parezca conveniente hacer,P
"Estupendo, si estoy hablamos “: Notición! Nos avisa nuestro profesor de que ha concertado una visita a EM el 27 de Enero.",P
No basta con encomendarse al santoral o bailar la danza de la lluvia para frenar la #boinaMadrid,N
"#RbcbenValencia: ""El compromiso es lo que me trajo a la política"", y agradece su lucha contra la corrupción a Ángel Luna",P
"#RbcbenValencia ""No preguntaré a nadie donde milita, si es mayor, jóven o si lleva tiempo militando, preguntaré si tiene ideas para mejorar""",P
"Chacón sobre los derechos de la mujer: ""Con Zapatero hemos dado más pasos que nunca en la historia de la Humanidad"".",P
Ana Botella traiciona a los madrileños al abandonar la reivindicación de una mejor financiación municipal. #Madrid ,N
 Parece que tenga un hierro en la cabeza...,N
A puntito de entrar en #TheHole viva ,P
RT : disculpame ya se que me rt pero se hace fuerza bss AYUDEMOS A HAITI (cont) ,P
Jajaja. Ya Se nota?. Ojala.. Yo voy a hacerlo con toda la pasion del mundo pero luego vosotr (cont) ,P
"Pues para finales de 2012 creo, pero os irE dando pequeños regalillos.. Jejeje. Y ya no puedo (cont) ",P
RT : ayudanos a difundir que un mundo sin psoriasis es posible la cura la (cont) ,P
Adiós al maestro de humanidad: vía ,N
Ya vereis que si. Eso lo lleva Rocio.. Pero estoy seguro. Un besito RT : (cont) ,P
El soldado Bradley Manning se enfrentará al consejo de guerra via ,N
"Toma! compravotos“: Portada mañana ""Griñán regaló 54 millones a UGT y CCOO el mismo día en q convocó las elecciones""",N
“: Top Secret: El #PSOE de Andalucía despilfarra otros 90 millones de euros en subvenciones. ”,N
Pues a mi me ha encantado #Sherlock,P
Indigna que Gobiernos UE no exijan cambio estatuto BCE para prestar directamente a Estados. Paro disparado y casino financiero a tope.,N
Que bien me lo he pasado esta noche en el espectáculo/ Que bé m'ho he passat!!!. Gràcies/ Gracias #terratpack,P
Ojala te guste. Un beso. RT : Vamos el décimo intento de Ke el Hermoso (cont) ,P
RT : me encanta tu avatar!!! Se ve que es hermoso tu gordo!!! :),P
Creéis que hay o no choque de trenes entre Montoro y de Guindos? sus distintas posiciones sobre control cuentas regionales apuntan a que si,N
. desbloquea obras por valor de 760.000 euros ,P
#FF RT : #FF para una chica buena persona muy malagueña del sur y además del como es . Kissess!!,P
Rajoy pide ayuda a la UE. ¿Para los españoles? ¿Para evitar los recortes? No. Para la banca ,N
"En pleno de convalidación decreto d recortes, dejamos propuestas: Pleno monográfico sobre empleo, mesa para nuevo modelo productivo...",P
"Montoro, a los consejeros del PP: ""El Gobierno no va a dejar que ninguna comunidad haga default (suspensión de pagos)"". ",P
Pero estamos convencidos d q no querrá contribuir a ningún expolio y devolverá 130.000 euros al contribuyente valenciano. Seguro,N
"El martes, 17 de enero, sale a la calle mi primera novela: La trampa. Espero que os guste. Aquí tenéis la portada. ",P
Facebook nos permitirá escuchar música con nuestros amigos ,P
“: La transicion avanza!Myanmar frees dozens of political prisoners: #FT”,P
RT : : El CAC Málaga lidera Ranking de Museos con Mayor Influencia en Redes Sociales ,P
En Granada #masdigital:igualdad de oportunidades en el acceso a las nuevas tecnologías,P
La sentencia del caso Marta del Castillo es una VERGÜENZA #INDIGNADOSporsenteciaMarta,N
"La parte en la que rechaza condenar por ""daño a la integridad moral"" (callarse dónde está el cadáver) me parece la más endeble.",N
"El Gobierno recuerda a sindicatos y empresarios que ""el lunes acaba el plazo"" para alcanzar un acuerdo en la reforma laboral ",N
"El Gobierno define el apoyo de CiU a sus recortes como ""el inicio de una deseable colaboración"" durante la legislatura ",P
Mucho RT : #Elcambioandaluz : urgente y muy necesario vía ,N
He apoyado la petición Pongamos fin al limbo de los Centros de Internamiento de Extranjeros - ,P
"La obra 'Yo, el heredero' inaugura la temporada de teatro del Auditorio de la ",P
"Arenas: ""Bajo ningún concepto Rajoy está vinculado por el 25M"" ",P
Toda mi admiración!!!“: con un público como Vd. da gusto salir al escenario. Un beso #losmayordomosdeTheHole”,P
"Ya estoy sentada en el vuelo , Holanda me espera!",P
A la cola por las autonómicas RT Ya era hora. El Gobierno cambiará la ley para facilitar privatización ,N
 ooooohhhhh moc moc. Ritaaaa ritaaaaaaaaaa...,N
"ja, ja!!! “: ¡Te ha quedado una auténtica obra de arte!”",P
"Ah, y un #FF para que es como la Circe de Homero: ""divina entre las diosas""",P
Los mossos tienen buenos asesores: si quieres conseguir que Mas y Puig no te recorte sueldo y material haz huelga hablando en castellano...,N
"Se llama ""sombra y luz"" me alegra que te guste RT : como se (cont) ",P
Ahora comienza #elcambioandaluz de los jóvenes #conectaconelcambio ;-)) ;-)) ,P
Jajaja.. Que chalao. RT : te gusta el coche último modelo que me acabo de (cont) ,P
"Los políticos tienen difícil superar al alcalde de Getafe, protagonista de un vídeo de adelgazamiento ",N
Pedazo de musical#muyrecomendable#inclusoparanosabineros ,P
“: tus libros deberían estar para Kindle...” ,P
"Buscamos cobrador del Frac, para que Iker Casillas pague sus deudas a los compañeros. Gracias.",N
Se confirma rebaja de raiting Francia e Italia. A la espera de q España reciba la llamada correspondiente. Solo Alemania tiene AAA,N
Malas noticias para zona Euro,N
Hizo buen Camerón huyendo de la euro cumbre antes de la debacle. Tenia razón es in pulso tripleA entre Alemania y gran bretaña,NEU
Me parece muy injusto la sentencia del juicio de marta del castillo,N
"“: La chispa de la vida es una cinta emocionante, seria y espectacular, todo el mundo debería verla por que es ÚNICA. gracias!",P
"Amigos, gracias por la increíble acogida. Da gusto hablar directamente con vosotros. #twitteradicto",P
Mucho RT : urge #cambioandaluz ya esta bien,N
"Toda mi solidaridad con la familia d Marta del Castillo.Hoy ha sido un día duro para la mayoría de ciudadanos,impotentes ante la sentencia",N
RT por una buena causa: #campañaparaquealmudenasigaentwitter :))),P
Hoy he conocido a eres un crack!!! Lástima q solo he podido escuchar unas canciones ,P
"Noche del viernes, casita,familia y película que mas se puede pedir...un abrazo a todos!!!:-)",P
Indignante la sentencia y todos los acontecimientos en torno al caso #MartadelCastillo La justicia NO ES IGUAL para todos.#cadenaperpetuaYA,N
"Si, era Audrey.Me encanta... ",P
Bdías. Estoy en Paris. La pérdida de la AAA de S&P cayó anoche como un jarro de agua fría sobre Francia. Sarko lo tiene mal en abril.,N
"""No son maneras"", post sobre cómo se está comportando cara al público el Gobierno Rajoy, Soraya y los demás ministros. ...",N
La buena noticia del día: se acaba d firmar el mayor contrato de España en el exterior: la construcción del AVE a La Meca (6.700 mill.euros),P
"Rajoy viaja en AVE para dar su primer discurso publico, en un mitin en Málaga. Un gesto: no va en el avión de presidente, sino en tren.",P
Con mi amigo direccion lanzarote!!!!! ,P
"Recomiendo la copia digital, excelente proyección del Capitol.",P
S&P considera q el mero ejercicio de austeridad puede dificultar el crecimiento. Presiones para alargar plazos?,N
¡Noticias descombacantes! está disponible! ? Historias del día por ,P
"#RbcbenAlmería ""l socialistas españoles debemos mucho a l socialistas andaluces, claves en la construcción del moderno""",P
Hecho! ,P
Está claro que con Marta del Castillo no se ha hecho justicia. Ni se ha condenado a los culpables ni se ha dado... ,N
"Uyyyy que ganas tenía se oír esto "" bienvenido , Presidente del Gobierno de España"" ;-)))))) ",P
""" la formación será derecho individual de cada trabajador y vamos a mejorar la empleabilidad"" #elcambioandaluz",P
"Por favor, controlemos un poco las RTonterias... Gracias ;)",NEU
"Rajoy modesto: ""Tenemos un gobierno de categoría""",P
Me encanta esta foto ;-))))) #elcambioandaluz #elcambioandaluz ,P
El mio tambien. ;) RT : es increible porque cada vez que hablas de (cont) ,P
IGual para ti gUapa. RT : yo no te pido ña!solo desearte un feliz sábado! Bss rosana,P
Ya estamos en el encuentro sobre accion política en redes sociales #elcambioandaluz . Gracias a todos por estar aquí ,P
Redistribuir la realidad. Al menos con la paradoja del futuro entrevisto. Ensayos de William Gibson ,P
"Quiero ser Secretario General porque puedo ser útil para mi partido. Tengo experiencia, tengo ganas e ideas. #rbcbenmalaga #rubalcaba38",P
"Tenemos que hacer una buena oposición, útil, si no estamos ahí el partido corre un riesgo. #rbcbenmalaga #rubalcaba38",P
“: Edurne!!! Ya tengo mi entrada para LA ÚLTIMA funcion de Grease!!! ”,P
"Denle RT por favor, si alguien puede ayudar. RT : Pls help me help 2 (cont) ",P
Denuncia la impunidad absoluta del pasado totalitario de España.,N
Denuncia la vulneración de la legalidad internacional sobre persecución del genocidio por el TSupremo.,NEU
""" vamos un plan integral de conciliación para lograr la corresponsabilidad en el ámbito familiar"" ",P
En el Foro interviene Teresa Jiménez Becerril que alza la voz por la igualdad en el Parlamento Europeo #elcambioandaluz ,P
"No entiendo a quien que se dedica a destruir BLOGs como el mío , u otros. ¿Por qué les molesta ? ¿Qué? Y ¿a quién?",N
Analizamos ahora la propuesta de planes específicos de empleabilidad para mujeres que sufren discriminación #elcambioandaluz,P
;-)) RT : a ti por resolvernos todas nuestras dudas sobre el mundo de las RRSS,P
"La agrupación mas grande de Madrid,al completo con RbCb.Los 28 delegados de la agrupación de Latina elegidos en una lista única proRubalcaba",P
Dos científicos de gran valor Elías Campo y Carlos López Otín premiados en #altoaragoneses 2011,P
Cenando con mi gran amigo ,P
""": que han hecho? El enlace no me funciona"" Demostrar su fiabilidad robando mi imagen sin permiso: ",N
"Viendo El Gran Debate en Tele5. Geniales Iranzo, Carmen Tomás y . Buena apuesta de la cadena.",P
Me asombra el extraordinario poder que tiene la envidia en este país.Ignoran que el mal de los otros acaba siendo el propio...,NEU
"“: #lachispadelavida da gusto ver cine español y que la sala esté llena.Enhorabuena por la película. me ha encantado,sin más” gracias!",P
“: Cómo describir #lachispadelavida : Parodia del grotesco morbo humano. Brillante idea. Así da gusto ir al cine” gracias amigo,P
Curiosidad del insomne: ¿Por qué iba a ceder la CEOE ante sindicatos si sabe que el Gobierno hará por decreto lo que la patronal quiere?,N
Putos amos! ,P
Muy buenas noches followercetes! ,P
Hasta mañana. Ya va siendo hora...!!!! Qué buen sabor de boca Mizayaki.,P
"El aeropuerto de Castellón, q costó 150 mill, ""tapaba"" una recalificación para 40.000 viviendas ",N
Guindos propone controlar a las autonomías y Montoro le matiza. Ya me extrañaba a mi!!,NEU
.: Las elecciones tienen que ser un grito esperanzado contra la corrupción via @ #elcambioandaluz,P
Mucho animo! Vamos muy muy bien!!! RT : Buenas ya muy cerca de Bilbo! ,P
abcdesevilla.es: La protesta contra el enchufismo llegará al Congreso del PSOE ,P
En recuerdo a Manuel Broseta... RT El Rincón de Rubín: VIDAS ROTAS EL 15 DE ENERO ,P
La emisión de CO2 en el volcán de El Hierro continúa descendiendo (ep),P
La cuesta de enero es la Crisis Deluxe.,N
¡Noticias descombacantes! está disponible! ? Historias del día por ,P
Esto opina el partido? “: Con una candidata podemos ir a peor. Y con el otro no vamos a ninguna parte. ¿Qué ha pasado con la cantera?”,N
""" el 25 de Marzo no nos jugamos mucho, nos lo jugamos todo"" #elcambioandaluz",NEU
"Precisamente porque creo en la separación de poderes, me repugna el proceso inquisitorial al juez Garzón con inhabilitación preventiva.",N
""" el cambio que proponemos es el cambio tranquilo que tenemos que hacer entre todos "" #elcambioandaluz",P
"Hay que anotar este nombre: Francesco Schettino, capitán del crucero hundido. Huyó el primero. (Por si se lo encuentran en otro barco).",N
""" el 25 de Marzo elegimos entre el inmovilismo del y la renovación y la esperanza del "" #elcambioandaluz",NEU
""" los socialistas han multiplicado por 5 la deuda publica en #Andalucia "" #elcambioandaluz",N
""" no me gustaría ver crecer a mi hijo y verle desesperanzado con la vida, por eso tenemos que trabajar mucho ahora"" ",NEU
"""Veo 1 partido de mayorías: no podemos olvidarnos de los más desfavorecidos, por ellos nacimos. Nos tenemos que dirigir a las clases medias""",P
"""Debemos tener la capacidad de vertebrar la sociedad española. Tenemos que ser coherentes en toda España.""",P
"""Tengo esperanza basada en los principios de la igualdad, la solidaridad y la justicia social, compartidos por una amplia base social""",P
De verdad han hackeado el Twitter del PSOE? Xq yo diría que más bien les ha traicionado el subconsciente.El tuit decía verdades como puños,NEU
"Angel Luna, el azote de la corrupción del PP en Valencia explica porque apoya a RbCb ",N
Hay formas de ajustar incluso 40.000 millones sin desmantelar el Estado del bienestar: #porquePúblicohacefalta,NEU
"“: Ayer vi La chispa de la vida... En tensión hasta el último segundo, me gustó mucho! Enhorabuena!!! Gracias!!!!!!!",P
Gracias a TODOS.,P
Los turistas españoles del naufragio. El mal tiempo q llega. ¿Pq los casos d sarampión se han multiplicado x 10? Os lo contamos a las 3.,N
"Anoche jugando hasta las tantas a ""atrapa un millon"" con y Me encanta!!!! ",P
"Feliz domingo a tod, hoy hasta Dios descansa. Trataré de no entrar al estudio y no escuchar nada de lo hecho estos dias. #NoSeSiPodré.",P
"Gracias a tod los participantes de la Convención, vosotros sois los protagonistas. Junt y con humildad haremos #elcambioandaluz",P
"Merkel persiste en el error. Lo explica en su análisis ""El euro en la encrucijada"". ",N
En la reunión del Consejo de Política Fiscal y Financiera del martes se establecerá el control previo de la deuda y el déficit de las CCAA,P
Dos figuras ahora en cartel!#lachispadelavida ,P
"Cuando no se trata de un juicio sino de un linchamiento, la sentencia está fijada de antemano. No hay garantías de juicio justo.",N
Los de color Twitter “: De esos 60-70 seguro que hay unos favoritos.”,P
" Mira que lo he pensado, pero estoy muy poco despierta",N
Estoy leyendo un libro que es como una montaña rusa: se pone interesante y se viene abajo. Y vuelta a empezar.,NEU
Vamos a cenar... Un BESAZO enorme !!!,P
"Cuanto daño ha hecho el todo gratis d ZP. Pretenden metro gratis, luz gratis, casas gratis.Los países se suicidan, solo hay q mirar a Grecia",N
Por hoy twitter off. Que mañana sea un buen día.,P
"Viajé con él en helicóptero en la campaña del 77. Lo recuerdo gritando más que los motores y señalando al suelo: ""Ese parador lo hice yo"".",NEU
"Asi es . Que descanse en paz RT : al menos ha podido ver como es presidente, descanse en Paz",P
"Ahora que se multiplica la corrupción política, concluyamos que Fraga nunca se enriqueció en ninguno de sus muchos cargos.",N
A Don Manuel Fraga Iribarne : gracias eternas ,P
"Mis #trolldeldía de hoy (competición muy reñida). En el número uno, el resistente a la dictadura de ZP ",N
Ha muerto FRAGA. DEP. pero los democratas de carnet no respetan ni un dia de luto a uno de los padres de la Constitucion.,N
La hija de Fraga en ABC: &quot;Ha muerto tranquilo&quot;,NEU
La mitad de los diputados de AP se abstuvo o votó en contra de la Constitución. Fraga fue de los que votó a favor.,NEU
"La mejor parte es cuando Rajoy presenta a Fraga como un ministro de Información que se la jugó en el franquismo por ""reformista"".",N
Fraga acabó siendo más moderado que muchos otros en el PP. Un artículo que escribí sobre el tema en el verano de 2010 ,P
"Recuperado otro cadáver en el Concordia,segun agencia Ansa.Ya son 6 muertos,entre ellos un español.Empresa armadora habla d error dl capitán",N
A ver si os gusta! b Dias! El cartero llama dos veces | Intereconomía | 689632 via ,P
"A ver si os gusta la nueva cabecera.....a mi me encanta..Hoy en #losdesayunosdetve el ministro Soria. Hablamos de energía, paro, Fraga, etc.",NEU
Padre constituyente hizo un gran esfuerzo por modernizar y moderar la sociedad española desde su posición liberal conservadora #graciasFraga,P
Adoro a Sofía Vergara......,P
Ya está aqui Bern Shcuster!!!;)) ,P
"“: Pedro J. Ramírez: ""Tengo la inmensa suerte de dedicarme a lo único para lo que sirvo"" ”",P
Todos recuerdan a #Fraga como hombre de estado que lo fue todo en la política española de los últimos 60 años,P
Ya ya ...RT : No debería llamarte la atención . La hipocresía existe...,N
y preguntamos en : ¿le están convenciendo o le están decepcionando las primeras semanas d la 'Era Rajoy'? ¿por qué? ,NEU
"Hoy dedicamos a la versión de Gwen Stefani del mítico ochentero ""It's my life"" de los Talk Talk ",P
"Vuelve Pons! Después de casi un mes desaparecido, estará esta noche en ",P
"Sobre el libro de Camps: “La historia de Job que, tras perderlo todo, es repudiado por familiares y conciudadanos"" ",N
"“: david fechas para mexico existen?”DE MOMENTO NO, YA ME GUSTARIA... un BESAZO!!!",N
"El concurso del gran bulevar de Estepona, más cerca ",P
"Y retuiteo la mitad de los buenos que me llegan, por no agobiar. #notengoabuela",P
"“:Sinceramente, la vi con mis amigas por ver algo. Salimos las cuatro temblando. Peliculón. Este me encanta!!!",P
"La frase del día: ""En la vida nada es para siempre"" Cuando a Rajoy le piden q garantice q no volverá a subir impuestos. No cierra la puerta",N
"gracias! “: Gracias por hacernos entender la economia ,muy buen articulo,bs”",P
Muy clarificador !La insostenible casta parasitaria española via ,N
Sarko comete el error de pensar q pq un periodista pregunta por algo que afecta negativamente a su país es antipatriota. A Zp tb le pasaba..,N
"Desde luego RT : Mañana Toma de Posesión de a las 11. buen amigo, Gran Político y trabajador infatigable",P
Como va eso?;-),P
Me encanta como arregla Julio Reyes... Hacemos un buen equipo.. Gran acierto trabajar con el para el nuevo disco.,P
Buenas noches... Y que OS QUIEROOOOOOO!!! con toda mi alma;-),P
El ultimo gran servicio por la concordia en Espana de don Manuel Fraga vía ,P
Buenos días. La sorprendente transmutación d Rajoy da un nuevo paso: apoya la Tasa financiera tras criticar a ZP cuando la propuso en la ONU,N
Bdías. ¿Os sorprende oir a Rajoy pedir una tasa sobre transacciones? A mi mucho. ¿Os sorprende ver a Garzón en el banquillo? A mi nada.,N
"Hoy el dia se presenta movido, y empieza con un juez en el banquillo por el 'caso Gurtel': justicia para todos?",NEU
Me voy a la concentración en el Supremo. Por la memoria y la justicia para todas las víctimas . Contra la corrupción. Por Garzón.,P
"Libro por escribir: ""De te quiero un huevo, amiguito del alma, a eres un gilipollas"". Anatomía autonómica del pelotazo-pirotécnico español.",N
"Garzón, hoy en el banquillo por las escuchas a abogados de Gürtel ¿Creéis que será condenado?",NEU
Lo único que se dirime desde hoy en el TS es si un juez debe respetar la ley. Es decir si se puede delinquir al perseguir delitos.,NEU
"Ja ""principios de ultraismo y solidaridad q presiden el sistema nacional de trasplantes # #MédulaÓsea",N
Desprecio a las leyes..El TSJA anula la integración del personal de Egmasa en la agencia del enchufismo via ,N
"Gracias, Nuna, tú siempre estás ahí “: Sin duda alguna es un premio bien merecido. Enhorabuena.”",P
Muy recomendable articulo de sobre Fraga en La Razón. ¿Una vuelta a su antigua casa o seguirá en La Gaceta?,P
Entre esta semana y la que viene seguro que anunciaremos la gira acústica de México. besos.,P
La red nos va a enriquecer y complementar a todas las ciudades. Tenemos que buscar una oferta turística única.,P
"""AVExperience,la red de ciudades AVE generará riqueza y empleo""#sevillahoy en Madrid. ",P
"Henando, PP, ""estoy convencido de que al final de la legislatura todos los españoles pagarán menos impuestos"" #Congreso",P
"Bueno pues a las 4 voy a conocer la #chatidieta , por si te apuntas ",P
Buenas tardes amig. En casa descansando después del entrenamiento de la mañana. Ya queda menos. Vamos Real..!!,P
" Pues es un poquito brasa, me gusto mucho mas #lachispadelavida",N
Recomiendo este artículo de sentido común sobre el techo de gasto dl catedrático F De Carreras en ,P
"El vascuence, un idioma que es parte de nuestra riqueza, que algunos aborrecen y otros patrimonializan. #Navarra",P
"Periódicos que se ponen estupendos con sus nuevas páginas de ""tecnología"" y al día siguiente llaman ""servicio telefónico"" a una app móvil.",N
"La buena colocación de letras del Tesoro demuestra: estaba descontada la rebaja de S&P, hay liquidez y el mercado vala las medidas de Rajoy",P
"Apertura hoy en : ""La resurrección d la Zeja"" al rescate d #Garzón ! las disparatadas argumentaciones en favor del superjuez",N
1 taza D cafe para empezar un buen dia de trabajo! 1 taza de cafe doble para un MUUUUUY buen dia de trabajo!,P
La nueva mesa de la comisión de cultura ,P
Gracias :-) RT : Ayer me preguntaron por ti en este reportaje. Un saludo y ánimo con todo ,P
IU pide al Gobierno la suspensión de los embargos de vivienda habitual que afecten a parados #deshaucios,P
Sólo el miedo a la derrota electoral del puede explicar de los alcaldes del Parlamento Andaluz #elcambioandaluz,N
"Suerte a los que habéis escrito!Nos vemos el jueves en el pase de ""Jack y su gemela"" (o el viernes en los cines! ;) ",P
"En dice q se presentará ""si llega al convencimiento de q las 2 opciones se anulan y son malas para el partido"".",NEU
He apoyado la petición Firma para que los maltratadores de animales vayan a prisión y tengan una condena - ,P
#DiccionarioMujerEspañol - jamas me enamoraría de un compañero de trabajo - el tío de enfrente me hace la hora coca-cola y me vuelvo loca,NEU
Aprendiendo con los viejos maestros... ,P
 vosotros no dejéis de intentarlo!,P
"Un regalito.... Original, sencillo , creativo y precioso ",P
"“: acabo de ver ""la chispa""FABULOSA!!!que gran esfuerzo el de La peli ha sido brillante!!!Eres un GRANDE!” gracias!!",P
"Empieza la edición 32 de la Feria Iinternacional de Turismo, (FITUR).10.000m2 y un 4% mas de participantes. Asisten 162 países.",P
"Excandidato republicano, Huntsman, abandona x la forma tóxica del discurso político basada en la división y ataques personales y negativos.",N
Aaah! Que detrás del actual procesamiento a Garzón (escuchas) está el eventual sobreseimiento d parte del caso Gürtel? Aaah!,N
"Existen ya CCAA ""intervenidas"" con la Ley actual: no se les deja endeudarse salvo q cumplan Plan d Ajuste aprobado con Gobierno central.",N
"Recuerdo a Garzon ,bermejo,la fiscal,el poli de la judicial cazando gratis con Correa en el calabozo...",N
"Hoy en la portada de , una manera diferente de contar el Real Madrid-Barça de esta noche ¿Te gusta?",P
SOS en el cuerno de África. Hambruna !,N
"RT ""Ahora nuestras democracias tienen al enemigo dentro"": vía ",N
Los abogados del turno de oficio abandonan por el recorte salarial ,N
"En Cataluña prohíben a los médicos atender en castellano y mossos y funcionarios sacan banderas españolas""pq la provocación funciona"".Q país",N
Como? esto que es? Los sindicatos tienen en plena crisis 9.000 tarjetas de crédito para pagar sus gastos ,N
Cuando el FBI reproduce una parte de mi rostro en el cartel del terrorista más buscado y le pone precio a su-mi cabeza os echáis unas risas,N
#Rajoy sale del mausoleo Real tras hacer la ofrenda floral ante la tumba dde Hassan II y Mohamed V ,P
